"","PassengerId","Type","Survived","Pclass","Sex","Age","Alone","lnFare","Embarked_S","Embarked_C","Embarked_Q"
"1",892,"TEST",0,3,1,34.5,1,2.05786033364623,0,0,1
"2",893,"TEST",1,3,0,47,0,1.94591014905531,1,0,0
"3",894,"TEST",0,2,1,62,1,2.27083639467947,0,0,1
"4",895,"TEST",0,3,1,27,1,2.15900336451602,1,0,0
"5",896,"TEST",1,3,0,22,0,2.50858248547328,1,0,0
"6",897,"TEST",0,3,1,14,1,2.22191718992659,1,0,0
"7",898,"TEST",1,3,0,30,1,2.03198299052013,0,0,1
"8",899,"TEST",0,2,1,26,0,3.36729582998647,1,0,0
"9",900,"TEST",1,3,0,18,1,1.97812837997935,0,1,0
"10",901,"TEST",0,3,1,21,0,3.18428438009858,1,0,0
"11",902,"TEST",0,3,1,21,1,2.06633097252974,1,0,0
"12",903,"TEST",0,1,1,46,1,3.25809653802148,1,0,0
"13",904,"TEST",1,1,0,23,0,4.40996640854943,1,0,0
"14",905,"TEST",0,2,1,63,0,3.25809653802148,1,0,0
"15",906,"TEST",1,1,0,47,0,4.11373860932874,1,0,0
"16",907,"TEST",1,2,0,24,0,3.32218303393412,0,1,0
"17",908,"TEST",0,2,1,35,1,2.51365606307399,0,0,1
"18",909,"TEST",0,3,1,21,1,1.9775472339985,0,1,0
"19",910,"TEST",1,3,0,27,0,2.07002231976334,1,0,0
"20",911,"TEST",1,3,0,45,1,1.9775472339985,0,1,0
"21",912,"TEST",0,1,1,55,0,4.0842942263686,0,1,0
"22",913,"TEST",0,3,1,9,0,1.15398392198086,1,0,0
"23",914,"TEST",1,1,0,21,1,3.45578972818792,1,0,0
"24",915,"TEST",0,1,1,21,0,4.11707101554523,0,1,0
"25",916,"TEST",1,1,0,48,0,5.5697747781408,0,1,0
"26",917,"TEST",0,3,1,50,0,2.67414864942653,1,0,0
"27",918,"TEST",1,1,0,22,0,4.12679884488682,0,1,0
"28",919,"TEST",0,3,1,22.5,1,1.9775472339985,0,1,0
"29",920,"TEST",0,1,1,41,1,3.41772668361337,1,0,0
"30",921,"TEST",0,3,1,7,0,3.07635327552161,0,1,0
"31",922,"TEST",0,2,1,50,0,3.25809653802148,1,0,0
"32",923,"TEST",0,2,1,24,0,3.44998754583159,1,0,0
"33",924,"TEST",1,3,0,33,0,3.02407674656313,1,0,0
"34",925,"TEST",1,3,0,33,0,3.15487049489229,1,0,0
"35",926,"TEST",0,1,1,30,0,4.0561233494019,0,1,0
